age,monthly_income,loan_amount,tenure_months,num_credit_lines,has_previous_default,job_type_civil_servant,job_type_employee,job_type_entrepreneur,job_type_freelance,education_level_bachelor,education_level_diploma,education_level_high_school,education_level_master,city_Bandung,city_Bekasi,city_Jakarta,city_Surabaya,city_Yogyakarta,marital_status_divorced,marital_status_married,marital_status_single,target
36,23645511,57764285,8,6.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
59,19576801,25968443,66,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
33,24798508,71045835,64,3.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
46,5167666,36075602,47,5.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
45,22876614,67186141,50,3.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
29,32352278,55960217,46,4.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
43,12550738,13810535,12,6.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
42,12319301,49712952,43,5.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
25,12707787,76661991,64,8.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
32,7593163,54459143,61,3.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
40,29009764,21069966,61,2.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
48,34826659,68878996,54,9.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
54,13115653,54755382,25,7.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
46,14735774,9222317,20,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
47,32132867,61521940,33,10.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
27,26354231,48653768,37,4.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
23,3775523,7022969,36,3.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
57,9626594,7791960,57,5.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
24,15117721,10043748,20,8.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
60,16514151,29158019,23,8.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
27,27241718,17339721,37,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
39,25782250,46878071,20,8.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
54,27566444,59718914,23,6.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
35,11495832,57302879,63,10.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
60,3705629,73442196,65,9.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
23,19952103,15238237,15,7.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
37,12485973,59846777,33,6.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
46,25090405,42558863,11,9.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
60,16368002,8506789,33,5.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
43,20842918,1119821,16,9.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
55,11371354,32839533,41,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
25,27031577,73198098,30,6.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
27,13167012,43359908,34,7.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
32,10634874,69153943,62,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
50,11285126,26485457,43,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
29,4968985,63796486,57,4.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
45,17088262,37308853,19,8.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
53,5848725,77553165,7,5.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
43,22298188,38397776,60,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
56,20662334,51818170,54,9.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
47,5655102,73813758,14,10.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
23,31820157,57336816,33,5.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
60,5811162,55200827,69,10.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
49,30020238,46853038,64,5.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
28,8886342,2502910,31,10.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
52,25389892,13292286,24,9.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
58,31519988,47142500,52,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
52,11325810,54991371,48,2.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
34,6944602,1661744,21,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
57,25375699,21041667,22,2.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
51,13188851,79592861,50,8.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
44,10813881,48922291,41,8.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
32,7476762,24894591,45,9.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
28,26826623,36933439,26,10.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
30,29780709,36379640,44,10.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
26,33876377,13904746,24,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
23,5711774,49295022,43,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
45,11622024,27502187,58,6.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
48,10328993,25265972,31,6.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
36,18704734,37844267,34,5.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
35,25981174,15318344,13,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
24,15164422,40834336,60,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
38,7668642,10914983,58,4.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
40,19527167,73519283,35,9.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
60,27759731,74713840,31,9.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
21,5384766,17607569,25,2.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
33,28306470,77672806,35,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
57,20179584,46617770,18,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
53,27644421,30619202,72,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
43,33329124,42755060,57,10.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
43,28517552,22857725,43,9.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
40,32969421,10782239,47,9.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
26,16931002,36277177,10,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
37,25243160,63352663,15,9.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
30,5133387,60025840,38,7.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
21,23922268,78197154,49,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
25,24132492,5856162,70,5.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
26,18557814,39239993,25,9.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
30,3712433,31373300,56,9.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
56,16133813,39719311,56,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
56,32694950,59001793,27,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
47,5172168,11399598,69,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
53,4241265,75371749,28,5.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
40,30953102,59114538,35,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
44,31924448,58728184,72,5.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
23,5487930,62327292,16,8.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
31,6409586,70255324,44,1.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
34,33029945,46040255,20,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
47,26521094,15220962,62,6.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
35,15228721,31865731,9,10.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
46,30028742,1069324,50,2.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
55,15333824,63520612,72,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
45,14939610,46904063,27,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
47,13746681,15024881,31,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
21,11079490,23011412,23,7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
30,12822837,56646790,26,2.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
32,18049421,46112925,10,5.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
29,18263732,51129677,7,8.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
39,11477233,24772659,58,3.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
42,9356774,1420028,65,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
50,22165745,17656123,31,4.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
34,22139469,72220514,33,2.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
43,34895200,1327419,34,10.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
46,17578996,8620803,11,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
35,33634049,65409199,24,7.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
46,4898322,48983649,72,3.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
53,16949216,20825275,69,5.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
32,4307241,19009668,51,8.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
39,24029206,16364803,54,2.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
48,22560284,49634721,27,9.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
41,21658330,65777180,7,3.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
28,22175159,61315193,9,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
47,23601756,23809042,27,8.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
33,15829445,7514044,38,2.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
31,13276972,56798040,57,5.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
49,32660123,58671370,43,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43,9318769,42913580,12,10.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
24,10897295,12332506,12,7.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
23,21673474,22851012,72,5.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
50,28426182,51199764,35,3.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
30,25282815,16128843,59,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
52,34877827,18949102,12,8.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
47,29416042,72698952,57,2.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
44,8559801,50794479,66,7.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
59,16606143,29698733,25,10.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
42,19995995,71339397,49,3.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
35,25698334,40090286,47,1.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
22,15466672,1277825,61,8.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
42,15024976,36044086,63,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
55,22467412,19552115,7,9.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
42,32042354,72411152,60,9.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
41,20992310,64308094,70,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
35,31052517,70055420,19,10.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
58,9237672,48562432,43,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
45,24145854,55277707,26,7.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
24,20925734,78596603,25,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
44,12698869,70518375,72,6.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
